STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",22/6/15,5.82,,0.06,0,0,62,73,47,130,120,16.1,19,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",23/6/15,9.4,,0,0,0,68,72,54,320,310,21,30,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",24/6/15,4.25,,0,0,0,63,82,45,100,320,14.1,19.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",25/6/15,2.91,,0.01,0,0,63,71,49,110,130,8.9,12.1,1,1,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",26/6/15,4.47,,0,0,0,61,76,45,120,130,13,18.1,1,1,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",27/6/15,4.7,,0,0,0,62,76,47,80,50,15,19.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",28/6/15,3.8,,0,0,0,62,77,46,100,130,12.1,14.1,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",29/6/15,6.26,,0,0,0,68,82,51,150,160,19.9,23,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",30/6/15,2.68,,0.08,0,0,65,74,51,150,140,18.1,21.9,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",1/7/15,6.04,,0,0,0,61,65,53,340,330,15,19,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",2/7/15,3.8,,0,0,0,60,73,44,50,50,14.1,18.1,,,,,,,
